"Pedigree","Env","Intercept","Pedigree_Fixed_Effect","Env_BLUP","GxE_BLUP","Predicted_BLUP","Species","Spec"
"BGV004584","Antalya",2.54945048578384,2.54945048578384,0.138301725037179,0.0531258208285884,2.74087803164961,"cerasiforme","SLC"
"BGV004584","Florida",2.54945048578384,2.54945048578384,-0.158169742006974,-0.153869903267625,2.23741084050924,"cerasiforme","SLC"
"BGV004584","Georgia",2.54945048578384,2.54945048578384,-0.0538083811384576,0.0316152717119087,2.52725737635729,"cerasiforme","SLC"
"BGV004584","Valencia",2.54945048578384,2.54945048578384,0.0736763981025623,0.0691288107286461,2.69225569461505,"cerasiforme","SLC"
"BGV005895","Antalya",2.54945048578384,2.11171717715181,0.138301725037179,-0.0540629386431614,2.19595596354583,"cerasiforme","SLC"
"BGV005895","Florida",2.54945048578384,2.11171717715181,-0.158169742006974,0.00765372779930906,1.96120116294415,"cerasiforme","SLC"
"BGV005895","Georgia",2.54945048578384,2.11171717715181,-0.0538083811384576,0.0284942194405753,2.08640301545393,"cerasiforme","SLC"
"BGV005895","Valencia",2.54945048578384,2.11171717715181,0.0736763981025623,0.0179149914032751,2.20330856665765,"cerasiforme","SLC"
"BGV005912","Antalya",2.54945048578384,2.70759743632049,0.138301725037179,0.0212374406512588,2.86713660200893,"cerasiforme","SLC"
"BGV005912","Florida",2.54945048578384,2.70759743632049,-0.158169742006974,-0.0543577576531892,2.49506993666033,"cerasiforme","SLC"
"BGV005912","Georgia",2.54945048578384,2.70759743632049,-0.0538083811384576,-0.0066615811189891,2.64712747406304,"cerasiforme","SLC"
"BGV005912","Valencia",2.54945048578384,2.70759743632049,0.0736763981025623,0.039781898120917,2.82105573254397,"cerasiforme","SLC"
"BGV006148","Antalya",2.54945048578384,2.07670198319187,0.138301725037179,0.003906064464149,2.2189097726932,"cerasiforme","SLC"
"BGV006148","Florida",2.54945048578384,2.07670198319187,-0.158169742006974,-0.103998015584314,1.81453422560058,"cerasiforme","SLC"
"BGV006148","Georgia",2.54945048578384,2.07670198319187,-0.0538083811384576,0.0725728595838421,2.09546646163726,"cerasiforme","SLC"
"BGV006148","Valencia",2.54945048578384,2.07670198319187,0.0736763981025623,0.0275190915363221,2.17789747283076,"cerasiforme","SLC"
