Env,Pedigree,FW
Florida,BGV006347,1.65186
Florida,BGV006353,-0.33686
Florida,BGV006370,1.15417
Florida,BGV006454,2.26019
Florida,BGV006457,0.9525
Florida,BGV006478,1.93963
Florida,BGV006753,6.88667
Florida,BGV006767,5.00894
Florida,BGV006768,14.3375
Florida,BGV006775,1.56917
Florida,BGV006777,8.09167
Florida,BGV006779,13.24833
Florida,BGV006792,14.04667
Florida,BGV006806,5.405
Florida,BGV006825,23.97333
Florida,BGV006828,15.30833
Florida,BGV006852,21.77333
Florida,BGV006859,3.71833
Florida,BGV006865,3.9325
Florida,BGV006867,4.88583
Florida,BGV006881,6.33583
Florida,BGV006896,4.58611
Florida,BGV006899,6.34
Florida,BGV006901,5.72667
Florida,BGV006904,2.96417
Florida,BGV006906,8.1775
Florida,BGV006907,10.87667
Florida,BGV006910,3.76167
Florida,BGV006927,10.24333
Florida,BGV006931,9.53083
Florida,BGV006934,11.65267
Florida,BGV007015,11.57833
Florida,BGV007017,8.14583
Florida,BGV007023,11.09583
Florida,BGV007109,0.835
Florida,BGV007111,1.1925
Florida,BGV007149,2.00583
Florida,BGV007151,1.47167
Florida,BGV007152,2.175
Florida,BGV007155,1.59833
Florida,BGV007158,1.59917
Florida,BGV007161,1.79583
Florida,BGV007169,1.5
Florida,BGV007181,1.60917
Florida,BGV007194,1.0537
Florida,BGV007198,1.49042
Florida,BGV007339,1.5325
Florida,BGV007366,1.52583
Florida,BGV007854,51.89
Florida,BGV007857,53.58186
Florida,BGV007860,95.2025
Florida,BGV007862,30.01417
Florida,BGV007863,21.09667
Florida,BGV007864,82.28333
Florida,BGV007865,60.47314
Florida,BGV007867,62.16944
Florida,BGV007870,33.70583
Florida,BGV007871,44.22417
Florida,BGV007872,68.00222
Florida,BGV007875,75.35731
Florida,BGV007876,57.1675
Florida,BGV007878,58.82064
Florida,BGV007894,9.44333
Florida,BGV007895,49.19333
Florida,BGV007899,27.44567
Florida,BGV007900,26.2175
Florida,BGV007901,3.27417
Florida,BGV007902,4.02125
Florida,BGV007908,2.40333
Florida,BGV007909,2.56817
Florida,BGV007910,2.34083
Florida,BGV007911,2.89667
Florida,BGV007918,2.88512
Florida,BGV007920,4.38333
Florida,BGV007921,2.52958
Florida,BGV007927,1.47167
Florida,BGV007931,1.2425
Florida,BGV007933,2.41833
Florida,BGV007934,1.61458
Florida,BGV007935,1.82333
Florida,BGV007936,85.73414
Florida,BGV007981,6.09417
Florida,BGV007989,6.20583
Florida,BGV007990,9.8975
Florida,BGV007992,4.43917
Florida,BGV008036,9.30833
Florida,BGV008037,5.83083
Florida,BGV008041,10.056
Florida,BGV008042,4.07583
Florida,BGV008051,2.61417
Florida,BGV008058,4.54167
Florida,BGV008061,6.31667
Florida,BGV008065,13.67833
Florida,BGV008067,2.25773
Florida,BGV008070,2.51417
Florida,BGV008077,14.48667
Florida,BGV008095,7.2875
Florida,BGV008096,9.36533
Florida,BGV008098,8.32917
Florida,BGV008100,14.60583
Florida,BGV008106,6.58833
Florida,BGV008108,3.9125
Florida,BGV008110,3.88417
Florida,BGV008189,3.84917
Florida,BGV008218,4.485
Florida,BGV008219,3.75917
Florida,BGV008221,5.36333
Florida,BGV008223,3.07333
Florida,BGV008224,35.20167
Florida,BGV008225,1.7025
Florida,BGV008345,4.09417
Florida,BGV008347,2.575
Florida,BGV008348,5.3925
Florida,BGV008354,15.89083
Florida,BGV012613,3.1625
Florida,BGV012614,2.8975
Florida,BGV012615,1.95333
Florida,BGV012625,18.00583
Florida,BGV012626,2.35417
Florida,BGV012627,7.10417
Florida,BGV012639,13.37467
Florida,BGV012640,9.95
Florida,BGV013134,2.93667
Florida,BGV013156,3.69917
Florida,BGV013161,9.80083
Florida,BGV013175,3.58167
Florida,BGV013945,7.94583
Florida,BGV014508,15.32583
Florida,BGV014514,16.63083
Florida,BGV014515,15.27167
Florida,BGV014516,10.80958
Florida,BGV014518,12.60639
Florida,BGV014519,13.3375
Florida,BGV014522,14.4975
Florida,BGV015380,0.9675
Florida,BGV015382,2.72519
Florida,BGV015726,14.2075
Florida,BGV015727,10.37333
Florida,BGV015730,9.3675
Florida,BGV015734,37.823
Florida,BGV016047,1.0425
Florida,LA0767,53.90083
Florida,LA1712,3.335
Florida,LA2309,13.33017
Florida,PI129026,65.39481
Florida,PI129033,42.66333
Florida,PI129088,23.7375
Florida,PI406890,3.58333
Florida,PI487625,16.80417
